Time,CPU,RAM,Disk
2026-04-28 10:26:31.055889,69.1,45.4,35.5
2026-04-28 10:26:34.069296,6.2,45.4,35.5
2026-04-28 10:26:37.080455,23.8,45.3,35.5
2026-04-28 10:26:40.092618,15.5,45.3,35.5
2026-04-28 10:26:43.108871,6.6,45.3,35.5
2026-04-28 10:26:46.120596,10.7,45.3,35.5
Time,CPU,RAM,Disk
2026-04-28 10:29:29.054415,5.9,45.5,35.5
2026-04-28 10:29:32.068574,6.2,45.0,35.5
2026-04-28 10:29:35.082615,5.4,45.0,35.5
2026-04-28 10:29:38.098328,7.4,45.0,35.5
2026-04-28 10:29:41.114366,20.5,44.9,35.5
2026-04-28 10:29:44.128667,5.1,44.9,35.5
Time,CPU,RAM,Disk
2026-04-28 10:31:13.454476,4.7,45.9,35.5
2026-04-28 10:31:16.479175,9.4,45.8,35.5
2026-04-28 10:31:19.492934,28.6,45.7,35.5
2026-04-28 10:31:22.507168,5.8,45.7,35.5
